Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth,Chain,Timestamp_Rounded,timestamp,ETH Price (USD),Gas Price (ETH),Total Cost (ETH),Total Cost (USD)
78b393dc46321d03bbab0f08868ac4f34de8f994c3467bade16b7e095dcefc4a,9704849,2024-09-20 10:00:03,0.072271802,845834,11,4,Linea,2024-09-20,2024-09-20 09:30:25.035,2549.8468870800084,7.2271802e-11,6.112994737286801e-05,0.15587200601607223
521174e7977c154ecd5ba2380d558042bc9ae3f665709522383de179ea6bc302,16163889,2024-09-20 10:00:08,0.181,650016,4,2,Polygon,2024-09-20,2024-09-20 09:30:25.035,2549.8468870800084,1.81e-10,0.000117652896,0.29999687062154795
cd4c77692b5511ee12b16425ffe5d6f639b68c0fa5575f33e342e0bec5fc7921,9705749,2024-09-20 10:30:03,0.074879343,852924,11,4,Linea,2024-09-20,2024-09-20 10:14:34.650,2543.146628705105,7.4879343e-11,6.3866388748932e-05,0.16242159123441605
2eb3c9d1d6bfcac3ffbcef523199f92a489ac9b611ca95433d68e18cad223e6b,16164484,2024-09-20 10:30:06,0.133,629033,4,2,Polygon,2024-09-20,2024-09-20 10:14:34.650,2543.146628705105,1.33e-10,8.3661389e-05,0.21276317938813635
6f9665578ba8dbb8a7960ed6946783775e99f6dbe374711d8fb830bceb37442c,9706650,2024-09-20 11:00:05,0.074110598,836139,11,4,Linea,2024-09-20,2024-09-20 10:14:34.650,2543.146628705105,7.4110598e-11,6.1966761301122e-05,0.1575905600947224
8bd7036363b6ba2fe52a42e187fe7bc58c46f0017c298c8cb96da456350ba9b3,16165080,2024-09-20 11:00:10,0.131,622022,4,2,Polygon,2024-09-20,2024-09-20 10:14:34.650,2543.146628705105,1.31e-10,8.148488200000001e-05,0.2072280029487333
39d0d4ee0600b70a3e450cd5c53ae5b2182a694851de728ac4dc82bdcf16f0e9,9707549,2024-09-20 11:30:04,0.06568327,852840,11,4,Linea,2024-09-20,2024-09-20 11:13:33.764,2551.0285492927446,6.568327e-11,5.60173199868e-05,0.14290178254119387
84c56969bab5dca28281d89a6ccf65136638f65ca97abe1e89852e7c77ad4132,16165675,2024-09-20 11:30:09,0.196,628997,4,2,Polygon,2024-09-20,2024-09-20 11:13:33.764,2551.0285492927446,1.9600000000000002e-10,0.00012328341200000003,0.3144995036662198
b95da3c3a33f68c728ef154a798f16a4213dc3f69ed5aa0094f35af638654b29,9708449,2024-09-20 12:00:04,0.0686857,852956,11,4,Linea,2024-09-20,2024-09-20 11:13:33.764,2551.0285492927446,6.868570000000001e-11,5.858587992920001e-05,0.14945425228482603
ebc8c3484ea59990f8c641236a9364eba6626295951a7a7d71e3644b9754f3a9,16166271,2024-09-20 12:00:08,0.125,629041,4,2,Polygon,2024-09-20,2024-09-20 11:13:33.764,2551.0285492927446,1.25e-10,7.8630125e-05,0.20058769370945717
