Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
53d0821382891993478ec4ac27ff2c5b4578c7d8cb4bd6880914778c727a4f5d,10550813,1728534603,0.143598949,955045,15,4
ffbde738b121c6435d8975b33a7c29bbe1130bfa60662f92ebce966afbfad1b1,10105112,1727633169,0.080242156,509832,1,11
782094e6fb23cff87f919c48fc7b8485ba6bbb1a34a511dc50aae96e9122759a,10949309,1729349958,0.255,549581,1,1
fcf9d7b0dbc0a498f4c28d394bf01bde331e602d3c99e0b153c0b051a1137b0e,9816175,1727050604,0.244727538,483083,1,13
eacdf7280e718493b03127472a7c401a2112fd9788d2738798faaa437b59d1a1,10780300,1729004231,0.240000007,552496,1,1
a6d98e452ff56f6836292e653cb4f5ccb8790127459087a92a91dec556861b9b,10515773,1728463768,0.103000067,494480,1,9
d0c08c14f781df3710d9eef04a89de95f1f3f5ad729f82cd76985ebad43870c3,10000230,1727422202,0.085506401,1001450,15,14
e8f82940842ed6db326590c303f2f29fb65de77fa9f78e56f0023e8632481a64,9995404,1727412547,0.091599431,483862,1,14
a11bd2f26e98271d78b67b5df1800ab46f2a7ac221e730270048d96092f6d9b5,10509582,1728451350,0.123731096,502100,1,10
66e13c22e7a4b193060fb87436b6ad8388791480689803db0c31c9132081fbef,9812184,1727042390,0.993158845,483172,1,13
655e19515632917023d52a93db1ef35382887bb3d58646a60dc3a927cbda0c6d,10035133,1727492404,0.075684472,970913,15,11
384cf65deef632becfb87020cb231fb99391f81cc92fa78309887bd17a7de197,10529566,1728491406,0.240000007,919161,14,4
1a553ee955e7c2398467ec2431128a65ac30eebb7f893cc68388972d334ec5bc,10174303,1727773203,0.125651493,838904,11,4
3438357228001e860b030c722092426921b1fc6201bbaa283d964ed142627f0b,10268739,1727964002,0.113733663,838939,11,4
f716037c6cfbeba444a365260c9bf6c045616c357736302bb7a343f1b9b488f8,10873228,1729194126,0.243,545486,1,1
e0e2ff4fefff5fe78af96d8b55ba1636e9f9d2908081ec0168eb416949413652,10202538,1727830804,0.084976293,838831,11,4
c6abd0006acc349d6c7c7256c9bf0f820ffff01887fa78aa990fb5e6db7f018f,10344621,1728117003,0.079797428,824762,11,4
13155a5f24a7bfb84d6dba316c0ec39d14d60753b2476aed31071bbbf7b4fa04,9926421,1727272805,0.172236156,990984,15,15
e7d7fa73b766ff1f8236f1bb7c769013bbc549a8b62bca420a9699a87c154cdd,10511815,1728455834,0.120529757,488893,1,11
d4b4c7d38f2d7c77a3f2403a0201559b2597151c7d2ad3d609ecd760c0a5bd38,10630201,1728697004,0.135662097,538303,1,1
f0b3a053be2964a8e9788e4de8a783a99c4f9d54968c1268a5d15854cb2a83ee,10361709,1728151203,0.116641743,822118,11,4
7aa1bf5f2a296f9a4fbd8d4ed610aca3476d786abc5eb96250c6bf33c8fb4774,10948974,1729349271,0.240000007,542606,1,1
ea4bc8d35314457d214f446209bdfa4a2112acd4b23efb7619f9fd9fe55b0699,10370605,1728169204,0.123564182,831977,11,4
e5225f68eccf0412e522ff41da1a948511e772d67ccc861f5ae7bf328d29a3a5,9939797,1727299803,0.150607202,980523,15,14
e227f63c353958272f9fa5695e81e320e511a4497880167c8dd68188bbfba15b,10389250,1728207001,0.095584147,819386,11,4
6d997fb1aaa40a852cea4e9c5228f6df9017da1a388c4803966924cf96d0d81e,10607659,1728650422,0.166430567,552393,1,1
131ba47531209cd3d49df6b813d1d46c0a8b94676bb1fed1723ce86467da4bad,9830973,1727080205,0.203488923,997939,15,15
8a20f69544d572470afa61564da5d26912d0bc3b4a65d5fcfe230c3efcba33f8,10314351,1728055803,0.142877577,838572,11,4
86689db0186bebf78a5c0d214f41465776c83e567d0d6d0fbf1fc9960e5bfa6a,9890734,1727200803,0.120617425,949857,15,11
3f793a6d0797e7a74faf2a0cf623f030e17e45056efa459a36829061c0bcc177,10851205,1729149427,0.110393139,552313,1,1
1a18028c1cfaebd5166bbdb217c958bb473d52b15d1817ce5cafa8ffc2852ed1,10079807,1727582403,0.075000007,991044,15,15
d1afdb343fc81cd1f5ece0a2c343bdf510ff93d948dd2543ccbfafe65bf83461,10483043,1728396922,0.131681985,572421,2,1
e5a4dd6f6df43f2bbe4ae37cc672b000003d95bdd89d1ff875b2313c588f97e4,10727747,1728897113,0.172472151,552485,1,1
d20f5fd914027728f4e3b150dd3a2d18559f9f5cb9a5a53f9d79d0aa86be2bf2,10783296,1729010289,0.242,566413,1,1
3dd45595af1c245a8b5fc50d34927dbb5fd149439246d2768ba9c9db6d3383cd,9938040,1727296203,0.150691886,843777,11,14
ce62230a1271d31c7db3a8c861b88e4f1ae6103d37d85dcbf5f24351bd4f19d0,10260641,1727947803,0.09147,838843,11,4
e17f0fa736dd19d075805a640555796ccc35c73929e96b4487668d9f042bd9dd,10527399,1728487070,0.240000007,594378,3,2
f144b6a2b509ec70c817ea02c8cc823cbb6d859abbf37399f33f5aaf19395c81,10744772,1728931450,0.241666666,552404,1,1
12339a5ad9d7e01c36b05d8bca00a9f6ce3abb0c0e6e28a6449f282fc7c384d3,10037832,1727497803,0.075000007,960276,15,12
11c75b9c79dc76f797d03b6da6c9cfe494230687c3fd7c4673908521c14b0c19,10382954,1728194402,0.069760684,838891,11,4
e201be2ef2f3471f9a46f047036a160b92f7d37938689b8f534ecf0be29ec312,9752271,1726921804,0.068211796,834677,11,4
3bd5021370949e9fae2cfd2d3d3bef168eabefea4de1dbb03a090248be1a7615,10508913,1728450002,0.148219284,955141,15,4
0c711768182669beb3b85363a542509a887b267aa4ada5850c6a24dc9acd8e3e,10191327,1727807404,0.232800008,831861,11,4
867939b8bc310b07635fb09f8e634e6da534730de132dbfa30cc1b26b54c2b35,10252555,1727931603,0.070546298,831845,11,4
813d68aada3d1fe68873293ddf1c22cae752626ac7110298f6bebb03b437702a,10824452,1729094780,0.228252014,538395,1,1
3940ab416cab037dc3754d746c0c89e1fcdb4912c8c5bf986b9c3a2ae54e01a0,10515279,1728462778,0.107425692,489515,1,12
882ba6d165f6c043c93ad725424ededbf18fdf894f6962769e71679fbcf00101,10820036,1729085883,0.177750976,545394,1,1
9e7fc91417ac15d44a2921707e69273c31c492c8b113f3461fbc27b406a2031b,10517889,1728468003,0.118824692,948139,15,4
f41778f6188e5de0e69faad7b26798b26a9fe055a942d854f27ce6ad7079d8e7,10912082,1729273907,0.240000007,535527,1,1
47a2b6d83d824795274d7da49f197c126f48a18a5e4c5c5802d84805b4dadf03,10571795,1728576678,0.240000007,545418,1,1
58a63a8af7afaf95bb67e48ad644f45eddaf798f15d557362a53810e7f4dd5be,10233882,1727893803,0.200000007,852936,11,4
b0f4abd5e7e97425b7e5e8f780dafce705fa46e394caeb27baf1818b2d67e985,10870507,1729188581,0.240000007,545394,1,1
9d6f6d19df367e2396eee3e2a0685539261229bf475358dc0eab6bae7bf65c93,9830072,1727078403,0.17446,980506,15,14
645d9868ac3fc17fb1834caa70f9c2e4c567ce24372e9f936c2f5f53ff4deb0d,10513823,1728459866,0.085698122,488849,1,11
f72ab384e0db0c6c9e9fe8509ac9f72e0e43a6c33e473573344ffd8cc30845ac,10072642,1727568003,0.076,980654,15,14
8cd6e03b968ada656ac1fc0015c0c71efa8a9c3a4fdc8c5d986ec81502610341,10534940,1728502203,0.240000007,962152,15,4
c17693da52eb8310aa0075e522e988626f228425c2f6c3e9b7502c9d7247613a,9925521,1727271004,0.164991716,1004637,15,15
a6d20eda17835efbc8a574201ee4379725af267f20231a48d6cc964d7ca84c53,10766140,1728975751,0.086024886,559415,1,1
f2cbc30b392b77e6469a43c0939fb8e4909b8323d0e27b13b71feb9a7d06e837,10848759,1729144516,0.187352954,545314,1,1
270d3a6bc91a7717c7d1bdb46e8e2206f1a2b5978948a2b47e045b9abc6451b7,10509870,1728451932,0.143689654,488757,1,11
2a2528e7e1c09e01d48042d178df33182c9ad9343f4e174927aa6739004ac2d5,10505734,1728443598,0.128310236,495859,1,11
e2fe684163562a9171d97d643db820cf2fed2fff72e5ca5d4842fa1139bd7481,10270537,1727967602,0.138158517,831929,11,4
c60ef183dd77063e28c5ab571ede87c9046e2197247142730918e74fe5c9e3e7,10713993,1728869510,0.111810355,552336,1,1
0da855d117ce0a52afbc6c888448beedd256fc597b35b1395954d4e2d58278e1,9862717,1727144685,0.101998096,488881,1,11
856deefc7bbd12fd51d812e9defca6acc12cbbe02edbb5658e1f0deaf9bb4ac5,10787096,1729018084,0.240000007,538499,1,1
f157bc0da225d31c8275690901014bcc98dc238509e467603bae91ec3ceda564,10558816,1728550691,0.100000007,579271,2,1
155f936d2df7611af829024cff638df2106c340415b27abf969b7cc16dd90064,9767472,1726952403,0.083053243,852780,11,4
