Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
cba15316c4e0cecb6d548f3409dcf1d2cb0d54c929b7ed872b48c77649d0fa58,10058456,1728626399,0.045039962,872664,12,4
cdb6ddd95d8117c14169ba13651462ed35053f52d05d9ff7a9ffe82bc0a53279,10248964,1729165400,0.043146872,565331,1,1
03cf77b1ce16ee48fb82d367d5c78daa9c3a9cd2e1a6d6b07b0ef537f03150d3,10046555,1728590955,0.045123935,672996,5,3
e677c43f9299a07ab2fc42b853c56aa08b77de73b91c5254e2061421de4ee956,10143175,1728876916,0.041796985,688518,6,3
dfbfa74f593002a4700d2d34823929ab24c64d6dfa1862b8cd4637426e108d7c,10145721,1728884284,0.041097791,673088,5,3
67b73b27b904a771fa247e69d346218c3e50066020634499ded8610f09eabe48,10257720,1729188004,0.046290576,879643,12,4
80e9c352a78e577a9700c76b1728f1ac5364a80ff6784610e4f4e72a4afb7160,10138803,1728864001,0.040723182,872372,12,4
1e81003bc13ce1a50b8f9af5233eb294ed084751d6f4a609f3f64df3e82858a1,10069747,1728659413,0.049128068,551230,1,1
48aad5e30e844ded628bb9562e470bcb0d84d9602b2b4afa7fe58464594b5832,10032536,1728550799,0.041100316,879511,12,4
783ef4d37c96947560db18de407d6f951655e3036dcf2bfd56a3cf6562dbd2c5,10178155,1728976458,0.041163197,544299,1,1
3518256aec877081d5cd248fd184852bcd5202e5a9eb4970e1b004863ed84ef3,10187305,1728999650,0.043740842,551334,1,1
dc5060338c64c0ea857990684d1e3053462117e8a5b204bd3513f4d2b2c87273,10188906,1729003108,0.050010145,551174,1,1
55871bfcc138504d6bd503f165c6e6ab822f46c15aad80d698f82f26213cfe91,10020381,1728514799,0.044270035,862865,12,4
7dbbb7c5deb45f44eab5b6da5ba921926fc6cbca0d634f5d8205e2c0952b2394,10178159,1728976466,0.041163197,701224,6,3
40d40f2df98286b739ca8cbb13af6987e764275f0e16eb6bd6ddbe1b87c1326a,10042738,1728579974,0.043843047,558240,1,1
e8b8805e77cbf40a9a349daad9487d20e488c5062923306d4503958aa6037491,10187586,1729000311,0.044431975,679927,5,3
118d476f254f409dd84664540f8c887663cfc800330a345bc586387cc3cd740e,10022185,1728520202,0.043972245,865725,12,4
902e4391a583dc7d335446469f527c96dbaea5d985021d62ee5eade0303a0eba,10161684,1728928801,0.043749039,879534,12,4
67d59f62f29566fd2fd92b0f388a5448bd850600be3c3c1e4c4e0b01cbf057a0,10220576,1729087769,0.042418743,701328,6,3
59b5aace6b8d4d3e74b59bb2beb01a9916cf69bb397ec14a3a7f27ca7859b1a2,10186430,1728997409,0.044846015,672972,5,3
d0be746fcd4c3f161187ad21410a811b209f94a0be43d9a4bef1ee4dab5000dd,10143174,1728876913,0.041796985,585243,2,1
609956d2c115ade6c7f25a9c88febdd39f800e66a3d60d7076a3037ad175da09,10268133,1729215964,0.041407963,664591,6,3
b2dc14b6e2b5c264c5b69dad1b35e9de325db384e699aa8d9676288f1869d8f2,10191778,1729010045,0.043838478,627918,4,2
057ec66d3015d4c983668a6154fd5605fdca4ee12d795121bee1008776e2fa17,10046680,1728591316,0.043796523,551242,1,1
0d1fa7f4b426d9a9361ee05ef0b32704cd86b1c1294d70e8564f36f756c92457,10188391,1729002053,0.045241528,627998,4,2
b6639dee7e78a34431e14b597df6457c0c45fff7ea930aa32a55251e1a1eb899,10225894,1729101600,0.043037731,886561,12,4
ca174d6da87964a19e31dbef5b8fe5c4e1819e14aa7b6b9d281b9f033a25ad8d,10258272,1729189383,0.044279432,565331,1,1
8fa0756660038ddcbe9b2e99f492403e7293ee210356dc1e5735648cd6dcc9f7,10037190,1728564078,0.041410131,653071,5,3
7f308db29c598c09dfe2983906a5d05273cc0a115dca65786e36a9c4781576a7,10041388,1728576114,0.043867788,551162,1,1
c621a18f2f1ca9c224167aab95fba6e7c22ee709b9108505e2deb9077ca203a5,10189209,1729003756,0.048320489,544175,1,1
08f08b21a74ccd214183d265affc74907e38789980b7cfeb8975e7f850bd9bf2,10188927,1729003159,0.049879193,544219,1,1
8b810b495ecdefaf8f7a5a500783f9f4240c54be41136500922e63a85a2a14bb,10037594,1728565201,0.041578229,879710,12,4
722c53e60471a49f9a6b2711fb6ac542ce2bde413d00d7e911b23bf31c59c4f4,10019179,1728511201,0.042900594,890767,12,4
2a1869aaf8b1481518cca989c778ed088192b49ffe8db424f258d2fb75d0fc28,10017827,1728507268,0.052737038,666042,5,3
46b381f07377a96883df6f959eec8bfe526e8b67aa5225f4fe36796235174a36,10188769,1729002889,0.044520509,544231,1,1
c12347a78f5184dce42503ffd22c44625c3b60a5aaf6eb7691b49f1d9ed33294,10044070,1728583783,0.043472769,544219,1,1
326672c3bdc0f83bef2be51093bbb7d69625ac3fc61df2b43047fc7d0b2601bd,10208840,1729058400,0.040814316,872652,12,4
12f7a9e3f76137180cb76523642bfa7781acdbb4c30fc9e6087c1bb26036f3f5,10050251,1728601950,0.048819194,558172,1,1
c9e8faa5d8028ef43279ab94363a2169fcfe5d409edf6a78f7602beb6703bf92,10287369,1729263760,0.044643103,542538,1,1
a881252d142564ecf75d3a714d63fd1248cf62eae37ce21118b53caa68be1229,10254478,1729179422,0.042689238,701316,6,3
2c982e989493387166a38fc6c0f1d93b14d2443fc05b9bea8247ff45d0ccdf00,10221429,1729089735,0.042655192,558149,1,1
a0c9188f24b0dd17fa07a2265a5bb33ed7594c136f9b1c5af61543cac59fdde9,10017917,1728507470,0.051682453,571074,2,1
f840c1c56c31ac49b9f7d56d8ac7cb4f254112a629364a61d48add4b2726619c,10124071,1728820800,0.040985425,869700,12,4
1837bb30364d6fb190be2d1a8579d9adaa81a23dae425050f546300919ee3df5,10287325,1729263675,0.044971899,653148,5,3
8950e3089dcc71ad3e285c06dd6e862e2d15b64c6fd99061b2c7e74dfaf75c72,10156996,1728915752,0.046266938,551162,1,1
8d8e4985a67ad6a74c75d72cfc8a3f2f7d844f14e7524fb87e4383c43fcea618,10175812,1728969985,0.041044201,551138,1,1
d833232df02e88a557d63bf1d8766976395745b17cc6bae93a45f86b50e5ca02,10189531,1729004529,0.046146257,565227,1,1
9f831967663d4641091b796dc01b97960aaa408873ec30589fd8ba9b53bfd8f9,10017963,1728507601,0.05073539,879498,12,4
feddce56b17e2e542abab9bf2adc127895acf266acc1b8fc898a6b8a4197d5c3,10221424,1729089726,0.042655192,572329,1,1
5d1afae716ea10e547e053b047615b7d0841c15fba96a99b02c8e26f5500c60d,10219890,1729086258,0.042224646,544207,1,1
0ae743916efe38966acdf21d0e27d1d1eb2d06be440e933b04520504823594d0,10296954,1729282731,0.041242664,563569,1,1
bf75269088f9d73e98809e3fd9df6c2b23ebc0e768a7989d9638b90b5b4e7484,10187771,1729000671,0.044549688,660230,5,3
08e052116f7f440de789d58580b780a576efcc9d54878c4470b79400d6a73bc2,10157000,1728915764,0.046266938,565319,1,1
6654f5f30b3243e1d2ae60f27f2ecad99c12e39f90545761122a7bb70498d40d,10143634,1728878189,0.041537011,715773,7,3
cee6b25ee3303de301b02c899ba735a6161ba15fee09e56f192b5a9ed6880054,10187770,1729000670,0.045066606,544231,1,1
bd3a8150c61a4621d61e5c010f2e953a62349a89fd5047873a985704e4cd7c3f,10265604,1729209601,0.041515251,839973,12,4
