Transaction Hash,Block Number,Timestamp,Gas Price (Gwei),Gas Used,Number of Inputs,Max Merkle Tree Depth
39a40ad386541aaee0c50cee0a586ea6a57d416d5d4a7e184830aee705f6ab98,6415977,1728466752,0.125,1649344,2,1
107b01bbec3c62073bd49dc2760bee22cdd8812773bc96308b0aeabacf034248,6415964,1728466711,0.125,1601811,3,2
3e0d3d3b9685414928af53399770f0d1ab0d038e20eb636b675f523d5c93c6af,6531324,1729004363,0.125,1547512,1,1
325f267136ea47236c9dd8e154d3c7110ac594f4a68ecfa4c3cf857fa7e6a2eb,6554976,1729118465,0.125,1623242,1,1
e9c7658ed088c9757851454bc9b0052929e437a5f03910c7b7a5654b4fc72163,6412970,1728453617,0.125,1653400,2,1
89997b2c433f88eab48dd0c222db829c8d9910d09dddd389ecd2f47d6bff9c3c,6525361,1728977036,0.125,1535325,1,1
26dd2960d491874a222045090632122806a362ea8745e142ddde6c382f3a3c89,6409856,1728438412,0.125,1812850,2,1
bc01f5ec4499b7cc6341290f7cba2a104c1858e1cda6ffcce40508d3b4f30f3e,6518753,1728944238,0.125,1467409,1,1
be06f7033e01a062eede8af2270c20cf1dfa95eb58ead889168a5eed8a6b8676,6408089,1728430142,0.125,1653310,2,1
0d26781f70f916df78d02cbd17e598b6eb65992f85de33b380d428718bbb5cfa,6435812,1728563402,0.125,2050691,16,4
b50e67849c04b75f83d7f1819402d7c0b2687bc49887f48a2621bca69fb52aae,6436758,1728567662,0.125,1730422,2,1
f51fed3732ca7b334ab226122ffe95038cf8b19899f116023127835348db381d,6543215,1729061864,0.125,1774489,1,1
1c9965beb6783cfa6531a5eadf36fa3fcc6708ec9c43a1ae46b111708f6f118e,6574831,1729215801,0.125,1687772,1,1
c952c2b509e35a3dda36d2a119bf734abd5ba78746adee419f2cd42e1d6cd4b0,6584269,1729261972,0.125,1537634,1,1
cdf05f16b7248619c7c005d1b952f23d89a45a8da2c4d3479cd5f7adab75154e,6419953,1728485721,0.125,1653700,2,1
792092450bdff2807f3db0ce9a610454e7b72062b205ff816918b21eb67bb381,6412229,1728449717,0.125,1571987,2,1
8da62a38e369d1e9708efff66d6b38bf1aa262923e9b975d43863bb22d86a88e,6415408,1728464615,0.125,1572370,2,1
c785d980b3b062db36658f447be1980fe6404cda0b6a300d107d3a90227d98ed,6416354,1728468142,0.125,1495456,2,1
dbc0c4f7e1406c4db1170360cf8919c6b4b046aae4d19a064a38784386f23c7f,6548253,1729086221,0.125,1545860,1,1
5face9e1ad11606b2f71988d8862ba0310fc6bdf1d5a86b51d9ba11c870efa48,6561196,1729149628,0.125,1469011,1,1
3f9ad5632a9eac35c1dab73e66a615d604bbf66987c24f52c645228b7fa40bef,6409610,1728437213,0.125,1570570,2,1
74ea44b6bafbb55fc77db68db665d42d0f3935f9a810f02781f35fecb41860d2,6406159,1728420666,0.125,1649147,2,1
ad5625ce1a29f99d7fe4fc591c18417bdb6cc955a312529708feb581d3b6d5c3,6416476,1728468656,0.125,1492745,2,1
f7bb49d8bcbb98d08d4b694bf279dce69483a457ff590866d70bc9539cb8f95a,6425145,1728511162,0.125,1955244,15,4
a426e865d1aa9e70864b36eb7fb567db1d54c8999d031276b37bc234adc83352,6407997,1728429744,0.125,1573715,2,1
17f0fac13cd930b899915f2f220f51de892b3cbc77db75bf10a58fab2c66ad66,6409633,1728437405,0.125,1494568,2,1
eed7b834e035083a7067c173e58006389343f788cafc8b36de4f1d37b8da9438,6418364,1728477892,0.125,1731250,2,1
e1f37e6deb1b26bd5ab9e61ff83b7bcd71ac14e2c950c49aa622515ccf2b83b4,6412633,1728451920,0.125,1652357,2,1
b0fce3258b906347b2980da9c49eba8cd3feb04250c1c3b2d9cc737b180833f3,6412757,1728452608,0.125,1654990,2,1
49a4beae74e701a23bc2587f93c8bce571acba3d0122c2f4084b4d4a8aa18e90,6410858,1728442891,0.125,1572130,2,1
db0ddf3349c4dee6bf4bd9dd5eb9c3f1966986539e28ba205d48e7b6f9efdf59,6415948,1728466627,0.125,1682360,3,2
5f72e185ed25e7640a0f5b4755f156ebde7fdf4d292720f15d4478f5bb52e8ad,6415831,1728466172,0.125,1707525,4,2
00b7a4d32a8563a827ab3a144b93e234f36ea8c93ec9cb20e4e7f77e433abc0d,6531440,1729004915,0.125,1656227,2,1
f2940ccfddd3c3286230cf36849267ba2f8d5f15543bd0c0acccea984c0ae892,6419413,1728482936,0.125,1491418,2,1
c197ec6a1908ec906224885da34536064c41c8f258355f9b2ed7b74c4672050d,6413772,1728457059,0.125,1567462,2,1
f829323f2d088027694c6702e49eeadca483fc6722e731340082b750fff14652,6409476,1728436661,0.125,1653177,2,1
d278d247541e2782334b3a2d8a1ef0aa6446114786f158928a7bb60ec40dd152,6408028,1728429915,0.125,1650907,2,1
22bafd76f68056cff008995ef161f42c939fc33299918673a1bcd675cc53980b,6409603,1728437147,0.125,1729690,2,1
464cc663293f32918213315ed934a88f66c21ef2b7a4d8b941c294479776faac,6500341,1728854737,0.125,1464549,1,1
4601a25cb66fbbd7fb8d5b9a63a0872ca4bb9b5ec3b66200782df6df03615ae7,6530295,1729000568,0.125,1707537,1,1
128636085ff255d4a9215b0289f5a6a93a8ecb4737a8d5cbf92ff0a17862bd71,6539088,1729041707,0.125,1469130,1,1
e11c9c26f42d0a0dd8dda00bee72e63053f54fd3b96b08a171f8df88f15f7088,6415911,1728466514,0.125,1728527,2,1
157f26225d2ab577d2146aff9f4351fefea9fe41b7b8ae44b1ce88b5bca8c02f,6565938,1729172021,0.125,1627848,1,1
d6b0c38db964cb506da2823a20127130b8fb76805ba6138e866af74c0428b68c,6512997,1728915979,0.125,1651223,2,1
d23bdac8554a2b50c21df600bef084ab72407daffcea02a32159145f8627e130,6537533,1729034181,0.125,1464620,1,1
ec88726c99efa7f4cbc61f8f9d7de04000e019719ca6441c7dc7f9687bc46aca,6406641,1728423002,0.125,1971960,16,4
0947619d30d5d4ce8bcc67e5c0921e5dbc614f062650b217a909d41d2bb42ec2,6404945,1728414524,0.125,1629799,4,2
a3ae007b85e4e200f9396828b84b108800e5bde07c385a8cb3b609f6739f2e3b,6407169,1728425244,0.125,1493470,2,1
7b745ca0148fd3d8f290795362ce529eb0c760c9a0d8903690c7a5b1d1127b40,6500807,1728857146,0.125,1707314,1,1
05a9da095d75f103d0ca6cae991eb6754ce83e4881ceb118e2ba24bbfa27651a,6495412,1728830315,0.125,1694709,1,1
a9a4679cc803a264a4c0d76753d2228961e150b3cbec90ffe1eeddb02fefc20d,6406748,1728423408,0.125,1731497,2,1
1e30e0ee8a5f87c1c6e70dc7cdf330f83f8c54a004088139d0683815489a4f17,6546537,1729078071,0.125,1493008,2,1
2fb49619cdffea70f7c7472aca3119faa7257ef059588fcccc56a230018ccbc2,6407020,1728424647,0.125,1733729,2,1
